antibody,source,study
BD56-955,BA.1 convalescents,imprinted_2022
BD56-956,BA.1 convalescents,imprinted_2022
BD56-957,BA.1 convalescents,imprinted_2022
BD56-959,BA.1 convalescents,imprinted_2022
BD56-960,BA.1 convalescents,imprinted_2022
BD56-961,BA.1 convalescents,imprinted_2022
BD56-962,BA.1 convalescents,repeated_2023
BD56-963,BA.1 convalescents,imprinted_2022
BD56-964,BA.1 convalescents,imprinted_2022
BD56-965,BA.1 convalescents,imprinted_2022
BD56-967,BA.1 convalescents,imprinted_2022
BD56-968,BA.1 convalescents,imprinted_2022
BD56-969,BA.1 convalescents,imprinted_2022
BD56-970,BA.1 convalescents,imprinted_2022
BD56-971,BA.1 convalescents,repeated_2023
BD56-972,BA.1 convalescents,imprinted_2022
BD56-973,BA.1 convalescents,imprinted_2022
BD56-974,BA.1 convalescents,imprinted_2022
BD56-975,BA.1 convalescents,imprinted_2022
BD56-976,BA.1 convalescents,imprinted_2022
BD56-977,BA.1 convalescents,imprinted_2022
BD56-978,BA.1 convalescents,imprinted_2022
BD57-001,BA.1 convalescents,imprinted_2022
BD57-002,BA.1 convalescents,imprinted_2022
BD57-003,BA.1 convalescents,imprinted_2022
BD57-004,BA.1 convalescents,imprinted_2022
BD57-005,BA.1 convalescents,imprinted_2022
BD57-006,BA.1 convalescents,imprinted_2022
BD57-008,BA.1 convalescents,imprinted_2022
BD57-009,BA.1 convalescents,imprinted_2022
BD57-010,BA.1 convalescents,imprinted_2022
BD57-0101,BA.5 convalescents,repeated_2023
BD57-0102,BA.5 convalescents,repeated_2023
BD57-0103,BA.5 convalescents,repeated_2023
BD57-0104,BA.5 convalescents,repeated_2023
BD57-0105,BA.5 convalescents,repeated_2023
BD57-0106,BA.5 convalescents,repeated_2023
BD57-0107,BA.5 convalescents,repeated_2023
BD57-0109,BA.5 convalescents,imprinted_2022
BD57-0110,BA.5 convalescents,repeated_2023
BD57-0111,BA.5 convalescents,repeated_2023
BD57-0113,BA.5 convalescents,repeated_2023
BD57-0114,BA.5 convalescents,repeated_2023
BD57-0115,BA.5 convalescents,repeated_2023
BD57-0116,BA.5 convalescents,repeated_2023
BD57-0117,BA.5 convalescents,repeated_2023
BD57-0118,BA.5 convalescents,repeated_2023
BD57-0119,BA.5 convalescents,repeated_2023
BD57-012,BA.1 convalescents,imprinted_2022
BD57-0120,BA.5 convalescents,repeated_2023
BD57-0121,BA.5 convalescents,imprinted_2022
BD57-0122,BA.5 convalescents,repeated_2023
BD57-0123,BA.5 convalescents,imprinted_2022
BD57-0124,BA.5 convalescents,repeated_2023
BD57-0125,BA.5 convalescents,repeated_2023
BD57-0127,BA.5 convalescents,repeated_2023
BD57-0128,BA.5 convalescents,repeated_2023
BD57-0129,BA.5 convalescents,repeated_2023
BD57-013,BA.1 convalescents,imprinted_2022
BD57-0130,BA.5 convalescents,repeated_2023
BD57-0131,BA.5 convalescents,repeated_2023
BD57-0132,BA.5 convalescents,repeated_2023
BD57-0133,BA.5 convalescents,repeated_2023
BD57-0134,BA.5 convalescents,repeated_2023
BD57-0135,BA.5 convalescents,imprinted_2022
BD57-0136,BA.5 convalescents,repeated_2023
BD57-0137,BA.5 convalescents,repeated_2023
BD57-0138,BA.5 convalescents,imprinted_2022
BD57-0139,BA.5 convalescents,repeated_2023
BD57-014,BA.1 convalescents,imprinted_2022
BD57-0140,BA.5 convalescents,repeated_2023
BD57-0141,BA.5 convalescents,repeated_2023
BD57-0142,BA.5 convalescents,repeated_2023
BD57-0143,BA.5 convalescents,repeated_2023
BD57-0145,BA.5 convalescents,repeated_2023
BD57-0146,BA.5 convalescents,repeated_2023
BD57-0148,BA.5 convalescents,repeated_2023
BD57-015,BA.1 convalescents,imprinted_2022
BD57-0150,BA.5 convalescents,repeated_2023
BD57-0151,BA.5 convalescents,repeated_2023
BD57-0153,BA.5 convalescents,repeated_2023
BD57-0154,BA.5 convalescents,repeated_2023
BD57-0155,BA.5 convalescents,repeated_2023
BD57-0156,BA.5 convalescents,repeated_2023
BD57-0158,BA.5 convalescents,repeated_2023
BD57-0159,BA.5 convalescents,repeated_2023
BD57-016,BA.1 convalescents,imprinted_2022
BD57-0160,BA.5 convalescents,repeated_2023
BD57-0161,BA.5 convalescents,repeated_2023
BD57-0162,BA.5 convalescents,repeated_2023
BD57-0163,BA.5 convalescents,repeated_2023
BD57-0167,BA.5 convalescents,repeated_2023
BD57-0168,BA.5 convalescents,repeated_2023
BD57-0169,BA.5 convalescents,repeated_2023
BD57-017,BA.1 convalescents,imprinted_2022
BD57-0170,BA.5 convalescents,repeated_2023
BD57-0171,BA.5 convalescents,repeated_2023
BD57-0172,BA.5 convalescents,repeated_2023
BD57-0173,BA.5 convalescents,repeated_2023
BD57-0174,BA.5 convalescents,repeated_2023
BD57-0175,BA.5 convalescents,repeated_2023
BD57-0176,BA.5 convalescents,repeated_2023
BD57-0177,BA.5 convalescents,repeated_2023
BD57-0178,BA.5 convalescents,repeated_2023
BD57-0179,BA.5 convalescents,repeated_2023
BD57-018,BA.1 convalescents,imprinted_2022
BD57-0180,BA.5 convalescents,repeated_2023
BD57-0181,BA.5 convalescents,repeated_2023
BD57-0183,BA.5 convalescents,repeated_2023
BD57-0184,BA.5 convalescents,repeated_2023
BD57-0185,BA.5 convalescents,repeated_2023
BD57-0186,BA.5 convalescents,repeated_2023
BD57-0187,BA.5 convalescents,repeated_2023
BD57-0188,BA.5 convalescents,repeated_2023
BD57-0189,BA.5 convalescents,repeated_2023
BD57-019,BA.1 convalescents,imprinted_2022
BD57-0190,BA.5 convalescents,repeated_2023
BD57-0191,BA.5 convalescents,repeated_2023
BD57-0192,BA.5 convalescents,repeated_2023
BD57-0193,BA.5 convalescents,repeated_2023
BD57-0194,BA.5 convalescents,repeated_2023
BD57-0195,BA.5 convalescents,repeated_2023
BD57-0196,BA.5 convalescents,repeated_2023
BD57-0198,BA.5 convalescents,repeated_2023
BD57-0199,BA.5 convalescents,imprinted_2022
BD57-020,BA.1 convalescents,imprinted_2022
BD57-0200,BA.5 convalescents,repeated_2023
BD57-0201,BA.5 convalescents,repeated_2023
BD57-0202,BA.5 convalescents,imprinted_2022
BD57-0203,BA.5 convalescents,imprinted_2022
BD57-0205,BA.5 convalescents,repeated_2023
BD57-0206,BA.5 convalescents,repeated_2023
BD57-0207,BA.5 convalescents,repeated_2023
BD57-0209,BA.5 convalescents,repeated_2023
BD57-021,BA.1 convalescents,repeated_2023
BD57-0210,BA.5 convalescents,repeated_2023
BD57-0211,BA.5 convalescents,imprinted_2022
BD57-0212,BA.5 convalescents,repeated_2023
BD57-0214,BA.5 convalescents,imprinted_2022
BD57-0215,BA.5 convalescents,repeated_2023
BD57-0217,BA.5 convalescents,repeated_2023
BD57-0218,BA.5 convalescents,repeated_2023
BD57-0219,BA.5 convalescents,imprinted_2022
BD57-022,BA.1 convalescents,imprinted_2022
BD57-0220,BA.5 convalescents,repeated_2023
BD57-0221,BA.5 convalescents,imprinted_2022
BD57-0222,BA.5 convalescents,repeated_2023
BD57-0223,BA.5 convalescents,repeated_2023
BD57-0224,BA.5 convalescents,repeated_2023
BD57-0225,BA.5 convalescents,repeated_2023
BD57-0226,BA.5 convalescents,repeated_2023
BD57-0227,BA.5 convalescents,repeated_2023
BD57-0228,BA.5 convalescents,repeated_2023
BD57-0229,BA.5 convalescents,imprinted_2022
BD57-023,BA.1 convalescents,imprinted_2022
BD57-0230,BA.5 convalescents,repeated_2023
BD57-0231,BA.5 convalescents,repeated_2023
BD57-0232,BA.5 convalescents,imprinted_2022
BD57-0233,BA.5 convalescents,imprinted_2022
BD57-0234,BA.5 convalescents,imprinted_2022
BD57-0235,BA.5 convalescents,repeated_2023
BD57-0236,BA.5 convalescents,repeated_2023
BD57-0237,BA.5 convalescents,repeated_2023
BD57-0238,BA.5 convalescents,imprinted_2022
BD57-0239,BA.5 convalescents,repeated_2023
BD57-024,BA.1 convalescents,imprinted_2022
BD57-0240,BA.5 convalescents,repeated_2023
BD57-0241,BA.5 convalescents,repeated_2023
BD57-0242,BA.5 convalescents,repeated_2023
BD57-0243,BA.5 convalescents,repeated_2023
BD57-0244,BA.5 convalescents,repeated_2023
BD57-0245,BA.5 convalescents,repeated_2023
BD57-0246,BA.5 convalescents,repeated_2023
BD57-0247,BA.5 convalescents,repeated_2023
BD57-0248,BA.5 convalescents,repeated_2023
BD57-0249,BA.5 convalescents,imprinted_2022
BD57-025,BA.1 convalescents,imprinted_2022
BD57-0251,BA.5 convalescents,imprinted_2022
BD57-0253,BA.5 convalescents,repeated_2023
BD57-0254,BA.5 convalescents,repeated_2023
BD57-0255,BA.5 convalescents,repeated_2023
BD57-0256,BA.5 convalescents,repeated_2023
BD57-0257,BA.5 convalescents,repeated_2023
BD57-0259,BA.5 convalescents,repeated_2023
BD57-026,BA.1 convalescents,imprinted_2022
BD57-0260,BA.5 convalescents,repeated_2023
BD57-0261,BA.5 convalescents,repeated_2023
BD57-0262,BA.5 convalescents,repeated_2023
BD57-0263,BA.5 convalescents,repeated_2023
BD57-0264,BA.5 convalescents,repeated_2023
BD57-0265,BA.5 convalescents,repeated_2023
BD57-0266,BA.5 convalescents,repeated_2023
BD57-0267,BA.5 convalescents,repeated_2023
BD57-0268,BA.5 convalescents,imprinted_2022
BD57-0269,BA.5 convalescents,repeated_2023
BD57-027,BA.1 convalescents,repeated_2023
BD57-0270,BA.5 convalescents,repeated_2023
BD57-0272,BA.5 convalescents,repeated_2023
BD57-0274,BA.5 convalescents,repeated_2023
BD57-0275,BA.5 convalescents,imprinted_2022
BD57-0277,BA.5 convalescents,repeated_2023
BD57-0279,BA.5 convalescents,repeated_2023
BD57-028,BA.1 convalescents,imprinted_2022
BD57-0280,BA.5 convalescents,imprinted_2022
BD57-0281,BA.5 convalescents,repeated_2023
BD57-0282,BA.5 convalescents,repeated_2023
BD57-0283,BA.5 convalescents,repeated_2023
BD57-0284,BA.5 convalescents,imprinted_2022
BD57-0285,BA.5 convalescents,repeated_2023
BD57-0286,BA.5 convalescents,repeated_2023
BD57-0287,BA.5 convalescents,imprinted_2022
BD57-0288,BA.5 convalescents,repeated_2023
BD57-0289,BA.5 convalescents,imprinted_2022
BD57-029,BA.1 convalescents,imprinted_2022
BD57-0290,BA.5 convalescents,repeated_2023
BD57-0291,BA.5 convalescents,repeated_2023
BD57-0292,BA.5 convalescents,imprinted_2022
BD57-0293,BA.5 convalescents,repeated_2023
BD57-0294,BA.5 convalescents,imprinted_2022
BD57-0295,BA.5 convalescents,repeated_2023
BD57-0296,BA.5 convalescents,repeated_2023
BD57-0298,BA.5 convalescents,repeated_2023
BD57-0299,BA.5 convalescents,repeated_2023
BD57-030,BA.1 convalescents,imprinted_2022
BD57-0300,BA.5 convalescents,repeated_2023
BD57-0301,BA.5 convalescents,repeated_2023
BD57-0302,BA.5 convalescents,repeated_2023
BD57-0303,BA.5 convalescents,repeated_2023
BD57-0304,BA.5 convalescents,repeated_2023
BD57-0305,BA.5 convalescents,repeated_2023
BD57-0306,BA.5 convalescents,repeated_2023
BD57-0307,BA.5 convalescents,repeated_2023
BD57-0308,BA.5 convalescents,repeated_2023
BD57-031,BA.1 convalescents,imprinted_2022
BD57-0310,BA.5 convalescents,repeated_2023
BD57-0311,BA.5 convalescents,repeated_2023
BD57-0312,BA.5 convalescents,repeated_2023
BD57-0313,BA.5 convalescents,repeated_2023
BD57-0314,BA.5 convalescents,repeated_2023
BD57-0315,BA.5 convalescents,repeated_2023
BD57-0316,BA.5 convalescents,repeated_2023
BD57-0317,BA.5 convalescents,imprinted_2022
BD57-0318,BA.5 convalescents,repeated_2023
BD57-0319,BA.5 convalescents,repeated_2023
BD57-032,BA.1 convalescents,imprinted_2022
BD57-0320,BA.5 convalescents,repeated_2023
BD57-0321,BA.5 convalescents,imprinted_2022
BD57-0322,BA.5 convalescents,repeated_2023
BD57-0323,BA.5 convalescents,imprinted_2022
BD57-0324,BA.5 convalescents,repeated_2023
BD57-0325,BA.5 convalescents,repeated_2023
BD57-0326,BA.5 convalescents,repeated_2023
BD57-0327,BA.5 convalescents,imprinted_2022
BD57-0328,BA.5 convalescents,imprinted_2022
BD57-0329,BA.5 convalescents,repeated_2023
BD57-033,BA.1 convalescents,repeated_2023
BD57-0330,BA.5 convalescents,repeated_2023
BD57-0332,BA.5 convalescents,repeated_2023
BD57-0333,BA.5 convalescents,repeated_2023
BD57-0334,BA.5 convalescents,repeated_2023
BD57-0335,BA.5 convalescents,repeated_2023
BD57-0336,BA.5 convalescents,repeated_2023
BD57-0337,BA.5 convalescents,imprinted_2022
BD57-034,BA.1 convalescents,imprinted_2022
BD57-0340,BA.5 convalescents,repeated_2023
BD57-0341,BA.5 convalescents,repeated_2023
BD57-0343,BA.5 convalescents,repeated_2023
BD57-0345,BA.5 convalescents,repeated_2023
BD57-0347,BA.5 convalescents,repeated_2023
BD57-0348,BA.5 convalescents,repeated_2023
BD57-035,BA.1 convalescents,imprinted_2022
BD57-0351,BA.5 convalescents,repeated_2023
BD57-0354,BA.5 convalescents,repeated_2023
BD57-0355,BA.5 convalescents,repeated_2023
BD57-0356,BA.5 convalescents,repeated_2023
BD57-0357,BA.5 convalescents,repeated_2023
BD57-0358,BA.5 convalescents,repeated_2023
BD57-0359,BA.5 convalescents,repeated_2023
BD57-0361,BA.5 convalescents,repeated_2023
BD57-0362,BA.5 convalescents,repeated_2023
BD57-0363,BA.5 convalescents,repeated_2023
BD57-0364,BA.5 convalescents,imprinted_2022
BD57-0365,BA.5 convalescents,imprinted_2022
BD57-0366,BA.5 convalescents,repeated_2023
BD57-0368,BA.5 convalescents,imprinted_2022
BD57-0369,BA.5 convalescents,imprinted_2022
BD57-037,BA.1 convalescents,imprinted_2022
BD57-0370,BA.5 convalescents,repeated_2023
BD57-0373,BA.5 convalescents,repeated_2023
BD57-0374,BA.5 convalescents,repeated_2023
BD57-0375,BA.5 convalescents,repeated_2023
BD57-0376,BA.5 convalescents,repeated_2023
BD57-0377,BA.5 convalescents,repeated_2023
BD57-0378,BA.5 convalescents,repeated_2023
BD57-038,BA.1 convalescents,imprinted_2022
BD57-0381,BA.5 convalescents,repeated_2023
BD57-0383,BA.5 convalescents,repeated_2023
BD57-0385,BA.5 convalescents,repeated_2023
BD57-0386,BA.5 convalescents,repeated_2023
BD57-0387,BA.5 convalescents,imprinted_2022
BD57-0388,BA.5 convalescents,repeated_2023
BD57-0389,BA.5 convalescents,repeated_2023
BD57-039,BA.1 convalescents,imprinted_2022
BD57-0390,BA.5 convalescents,repeated_2023
BD57-0393,BA.5 convalescents,repeated_2023
BD57-0394,BA.5 convalescents,repeated_2023
BD57-0395,BA.5 convalescents,repeated_2023
BD57-0397,BA.5 convalescents,repeated_2023
BD57-0399,BA.5 convalescents,repeated_2023
BD57-0400,BA.5 convalescents,repeated_2023
BD57-0401,BA.5 convalescents,repeated_2023
BD57-0402,BA.5 convalescents,repeated_2023
BD57-0403,BA.5 convalescents,repeated_2023
BD57-0404,BA.5 convalescents,imprinted_2022
BD57-0405,BA.5 convalescents,repeated_2023
BD57-0406,BA.5 convalescents,imprinted_2022
BD57-0408,BA.5 convalescents,repeated_2023
BD57-041,BA.1 convalescents,imprinted_2022
BD57-0410,BA.5 convalescents,repeated_2023
BD57-0411,BA.5 convalescents,imprinted_2022
BD57-0412,BA.5 convalescents,repeated_2023
BD57-042,BA.1 convalescents,imprinted_2022
BD57-043,BA.1 convalescents,imprinted_2022
BD57-045,BA.1 convalescents,imprinted_2022
BD57-046,BA.1 convalescents,imprinted_2022
BD57-047,BA.1 convalescents,imprinted_2022
BD57-049,BA.1 convalescents,imprinted_2022
BD57-051,BA.1 convalescents,imprinted_2022
BD57-052,BA.1 convalescents,imprinted_2022
BD57-053,BA.1 convalescents,imprinted_2022
BD57-054,BA.1 convalescents,imprinted_2022
BD57-056,BA.1 convalescents,repeated_2023
BD57-057,BA.1 convalescents,imprinted_2022
BD57-058,BA.1 convalescents,imprinted_2022
BD57-059,BA.1 convalescents,imprinted_2022
BD57-060,BA.1 convalescents,imprinted_2022
BD57-061,BA.1 convalescents,imprinted_2022
BD57-062,BA.1 convalescents,imprinted_2022
BD57-063,BA.1 convalescents,imprinted_2022
BD57-064,BA.1 convalescents,imprinted_2022
BD57-065,BA.1 convalescents,imprinted_2022
BD57-066,BA.1 convalescents,repeated_2023
BD57-067,BA.1 convalescents,imprinted_2022
BD57-068,BA.1 convalescents,imprinted_2022
BD57-069,BA.1 convalescents,imprinted_2022
BD57-070,BA.1 convalescents,imprinted_2022
BD57-071,BA.1 convalescents,imprinted_2022
BD57-072,BA.1 convalescents,imprinted_2022
BD57-073,BA.1 convalescents,imprinted_2022
BD57-074,BA.1 convalescents,imprinted_2022
BD57-075,BA.1 convalescents,imprinted_2022
BD57-076,BA.1 convalescents,imprinted_2022
BD57-077,BA.1 convalescents,imprinted_2022
BD57-078,BA.1 convalescents,imprinted_2022
BD57-079,BA.1 convalescents,imprinted_2022
BD57-080,BA.1 convalescents,imprinted_2022
BD57-082,BA.1 convalescents,imprinted_2022
BD57-083,BA.1 convalescents,imprinted_2022
BD57-085,BA.1 convalescents,imprinted_2022
BD57-087,BA.1 convalescents,imprinted_2022
BD57-088,BA.1 convalescents,imprinted_2022
BD57-089,BA.1 convalescents,imprinted_2022
BD57-090,BA.1 convalescents,imprinted_2022
BD57-091,BA.1 convalescents,imprinted_2022
BD57-092,BA.1 convalescents,imprinted_2022
BD57-093,BA.1 convalescents,imprinted_2022
BD57-096,BA.1 convalescents,imprinted_2022
BD57-097,BA.1 convalescents,imprinted_2022
BD57-098,BA.1 convalescents,imprinted_2022
BD57-099,BA.1 convalescents,imprinted_2022
BD57-100,BA.1 convalescents,imprinted_2022
BD58-0448,BA.2 convalescents,imprinted_2022
BD58-0571,BA.2 convalescents,imprinted_2022
BD58-0572,BA.2 convalescents,imprinted_2022
BD58-0573,BA.2 convalescents,imprinted_2022
BD58-0574,BA.2 convalescents,imprinted_2022
BD58-0575,BA.2 convalescents,imprinted_2022
BD58-0577,BA.2 convalescents,imprinted_2022
BD58-0578,BA.2 convalescents,imprinted_2022
BD58-0580,BA.2 convalescents,imprinted_2022
BD58-0584,BA.2 convalescents,imprinted_2022
BD58-0586,BA.2 convalescents,imprinted_2022
BD58-0587,BA.2 convalescents,imprinted_2022
BD58-0588,BA.2 convalescents,imprinted_2022
BD58-0589,BA.2 convalescents,imprinted_2022
BG1-24,WT convalescents,imprinted_2022
BG10-19,WT convalescents,imprinted_2022
BG4-25,WT convalescents,imprinted_2022
BG7-20,WT convalescents,imprinted_2022
C002,WT convalescents,imprinted_2022
C034,WT convalescents,imprinted_2022
C048,WT convalescents,imprinted_2022
C058,WT convalescents,imprinted_2022
C083,WT convalescents,imprinted_2022
C085,WT convalescents,imprinted_2022
C089,WT convalescents,imprinted_2022
C091,WT convalescents,imprinted_2022
C093,WT convalescents,imprinted_2022
C102,WT convalescents,imprinted_2022
C105,WT convalescents,imprinted_2022
C110,WT convalescents,imprinted_2022
C119,WT convalescents,imprinted_2022
C121,WT convalescents,imprinted_2022
C135,WT convalescents,imprinted_2022
C144,WT convalescents,imprinted_2022
C1A-B12,WT convalescents,imprinted_2022
C1A-B3,WT convalescents,imprinted_2022
C1A-C2,WT convalescents,imprinted_2022
C1A-F10,WT convalescents,imprinted_2022
C213,WT convalescents,imprinted_2022
C217,WT convalescents,imprinted_2022
C516,WT convalescents,imprinted_2022
C547,WT convalescents,imprinted_2022
C552,WT convalescents,imprinted_2022
C556,WT convalescents,imprinted_2022
C578,WT convalescents,imprinted_2022
C591,WT convalescents,imprinted_2022
C594,WT convalescents,imprinted_2022
C597,WT convalescents,imprinted_2022
CC12.1,WT convalescents,imprinted_2022
CC12.3,WT convalescents,imprinted_2022
CM32,WT convalescents,imprinted_2022
COV2-2015,WT convalescents,imprinted_2022
COV2-2037,WT convalescents,imprinted_2022
COV2-2064,WT convalescents,imprinted_2022
COV2-2072,WT convalescents,imprinted_2022
COV2-2098,WT convalescents,imprinted_2022
COV2-2103,WT convalescents,imprinted_2022
COV2-2113,WT convalescents,imprinted_2022
COV2-2268,WT convalescents,imprinted_2022
COV2-2308,WT convalescents,imprinted_2022
COV2-2353,WT convalescents,imprinted_2022
COV2-2381,WT convalescents,imprinted_2022
COV2-2389,WT convalescents,imprinted_2022
COV2-2391,WT convalescents,imprinted_2022
COV2-2413,WT convalescents,imprinted_2022
COV2-2479,WT convalescents,imprinted_2022
COV2-2485,WT convalescents,imprinted_2022
COV2-2499,WT convalescents,imprinted_2022
COV2-2504,WT convalescents,imprinted_2022
COV2-2514,WT convalescents,imprinted_2022
COV2-2531,WT convalescents,imprinted_2022
COV2-2539,WT convalescents,imprinted_2022
COV2-2589,WT convalescents,imprinted_2022
COV2-2628,WT convalescents,imprinted_2022
COV2-2677,WT convalescents,imprinted_2022
COV2-2678,WT convalescents,imprinted_2022
COV2-2684,WT convalescents,imprinted_2022
COV2-2693,WT convalescents,imprinted_2022
COV2-2734,WT convalescents,imprinted_2022
COV2-2760,WT convalescents,imprinted_2022
COV2-2780,WT convalescents,imprinted_2022
COV2-2807,WT convalescents,imprinted_2022
COV2-2819,WT convalescents,imprinted_2022
COV2-2828,WT convalescents,imprinted_2022
COV2-2841,WT convalescents,imprinted_2022
COV2-2848,WT convalescents,imprinted_2022
COV2-2919,WT convalescents,imprinted_2022
COV2-2941,WT convalescents,imprinted_2022
COV2-2955,WT convalescents,imprinted_2022
COV2-3025,WT convalescents,imprinted_2022
COVA1-16,WT convalescents,imprinted_2022
COVA2-04,WT convalescents,imprinted_2022
COVA2-39,WT convalescents,imprinted_2022
COVOX-150,WT convalescents,imprinted_2022
COVOX-253H165L,WT convalescents,imprinted_2022
COVOX-253H55L,WT convalescents,imprinted_2022
COVOX-269,WT convalescents,imprinted_2022
COVOX-316,WT convalescents,imprinted_2022
COVOX-384,WT convalescents,imprinted_2022
COVOX-40,WT convalescents,imprinted_2022
COVOX-45,WT convalescents,imprinted_2022
COVOX-75,WT convalescents,imprinted_2022
COVOX-88,WT convalescents,imprinted_2022
CP0199,BA.1 convalescents,repeated_2023
CP0200,BA.1 convalescents,repeated_2023
CP0206,BA.1 convalescents,repeated_2023
CP0207,BA.1 convalescents,repeated_2023
CP0265,BA.1 convalescents,repeated_2023
CP0278,BA.1 convalescents,repeated_2023
CP0280,BA.1 convalescents,repeated_2023
CP0352,BA.1 convalescents,repeated_2023
CP0365,BA.1 convalescents,repeated_2023
CP0427,BA.2 convalescents,repeated_2023
CP0430,BA.2 convalescents,repeated_2023
CP0459,BA.2 convalescents,repeated_2023
CP0497,BA.2 convalescents,repeated_2023
CP0499,BA.2 convalescents,repeated_2023
CP0513,BA.2 convalescents,repeated_2023
CP0516,BA.2 convalescents,repeated_2023
CP0537,BA.2 convalescents,repeated_2023
CP0590,BA.5 convalescents,repeated_2023
CP0592,BA.5 convalescents,repeated_2023
CV-X2-106,WT convalescents,imprinted_2022
CV05-163,WT convalescents,imprinted_2022
CV07-200,WT convalescents,imprinted_2022
CV07-209,WT convalescents,imprinted_2022
CV07-222,WT convalescents,imprinted_2022
CV07-250,WT convalescents,imprinted_2022
CV07-255,WT convalescents,imprinted_2022
CV07-262,WT convalescents,imprinted_2022
CV07-270,WT convalescents,imprinted_2022
CV07-283,WT convalescents,imprinted_2022
CV07-287,WT convalescents,imprinted_2022
CV07-315,WT convalescents,imprinted_2022
CV2-75,WT convalescents,imprinted_2022
CV30,WT convalescents,imprinted_2022
CV38-142,WT convalescents,imprinted_2022
DH1041,WT convalescents,imprinted_2022
DH1042,WT convalescents,imprinted_2022
DH1043,WT convalescents,imprinted_2022
DH1044,WT convalescents,imprinted_2022
DH1045,WT convalescents,imprinted_2022
DH1046,SARS convalescents,imprinted_2022
DH1047,SARS convalescents,imprinted_2022
DH1063,WT convalescents,imprinted_2022
DH1064,SARS convalescents,imprinted_2022
DH1072,WT convalescents,imprinted_2022
DH1073,SARS convalescents,imprinted_2022
DH1082,WT convalescents,imprinted_2022
DH1088,SARS convalescents,imprinted_2022
DH1111,WT convalescents,imprinted_2022
DH1117,SARS convalescents,imprinted_2022
DH1126,WT convalescents,imprinted_2022
DH1128,WT convalescents,imprinted_2022
DH1129,WT convalescents,imprinted_2022
DH1130,WT convalescents,imprinted_2022
DH1140,WT convalescents,imprinted_2022
DH1143,WT convalescents,imprinted_2022
DH1151,WT convalescents,imprinted_2022
DH1154,WT convalescents,imprinted_2022
DH1155,WT convalescents,imprinted_2022
DH1159-2,WT convalescents,imprinted_2022
DH1160,WT convalescents,imprinted_2022
DH1161-1,WT convalescents,imprinted_2022
DH1161-2,WT convalescents,imprinted_2022
DH1173,WT convalescents,imprinted_2022
DH1179,WT convalescents,imprinted_2022
DH1180,WT convalescents,imprinted_2022
DH1183,WT convalescents,imprinted_2022
DH1184,WT convalescents,imprinted_2022
DH1186,WT convalescents,imprinted_2022
DH1193,WT convalescents,imprinted_2022
DH1196,WT convalescents,imprinted_2022
DH1210,WT convalescents,imprinted_2022
DH1214,WT convalescents,imprinted_2022
DXP-593,WT convalescents,imprinted_2022
EY6A,WT convalescents,imprinted_2022
Ehling_mAb-64,WT convalescents,imprinted_2022
Ehling_mAb-82,WT convalescents,imprinted_2022
GC0108,BA.5 convalescents,repeated_2023
GC0112,BA.5 convalescents,repeated_2023
GC0144,BA.5 convalescents,repeated_2023
GC0147,BA.5 convalescents,repeated_2023
GC0149,BA.5 convalescents,repeated_2023
GC0152,BA.5 convalescents,repeated_2023
GC0165,BA.5 convalescents,repeated_2023
GC0182,BA.5 convalescents,repeated_2023
GC0197,BA.5 convalescents,repeated_2023
GC0204,BA.5 convalescents,repeated_2023
GC0208,BA.5 convalescents,repeated_2023
GC0213,BA.5 convalescents,repeated_2023
GC0216,BA.5 convalescents,repeated_2023
GC0250,BA.5 convalescents,repeated_2023
GC0258,BA.5 convalescents,repeated_2023
GC0271,BA.5 convalescents,repeated_2023
GC0297,BA.5 convalescents,repeated_2023
GC0338,BA.5 convalescents,repeated_2023
GC0342,BA.5 convalescents,repeated_2023
GC0346,BA.5 convalescents,repeated_2023
GC0350,BA.5 convalescents,repeated_2023
GC0352,BA.5 convalescents,repeated_2023
GC0353,BA.5 convalescents,repeated_2023
GC0371,BA.5 convalescents,repeated_2023
GC0372,BA.5 convalescents,repeated_2023
GC0379,BA.5 convalescents,repeated_2023
GC0380,BA.5 convalescents,repeated_2023
GC0396,BA.5 convalescents,repeated_2023
GC0407,BA.5 convalescents,repeated_2023
GC0409,BA.5 convalescents,repeated_2023
GC0413,BA.5 convalescents,repeated_2023
GC0414,BA.5 convalescents,repeated_2023
GC0415,BA.5 convalescents,repeated_2023
GC0416,BA.5 convalescents,repeated_2023
GC0417,BA.5 convalescents,repeated_2023
GC0418,BA.5 convalescents,repeated_2023
GC0419,BA.5 convalescents,repeated_2023
GC0420,BA.5 convalescents,repeated_2023
GC0421,BA.5 convalescents,repeated_2023
GC0422,BA.5 convalescents,repeated_2023
GC0423,BA.5 convalescents,repeated_2023
GC0424,BA.5 convalescents,repeated_2023
GC0425,BA.5 convalescents,repeated_2023
GC0426,BA.5 convalescents,repeated_2023
GC0427,BA.5 convalescents,repeated_2023
GC0428,BA.5 convalescents,repeated_2023
GC0429,BA.5 convalescents,repeated_2023
GC0430,BA.5 convalescents,repeated_2023
GC0431,BA.5 convalescents,repeated_2023
GC0432,BA.5 convalescents,repeated_2023
GC0434,BA.5 convalescents,repeated_2023
GC0435,BA.5 convalescents,repeated_2023
GC0437,BA.5 convalescents,repeated_2023
GC0438,BA.5 convalescents,repeated_2023
GC0439,BA.5 convalescents,repeated_2023
GC0440,BA.5 convalescents,repeated_2023
GC0441,BA.5 convalescents,repeated_2023
